canonical_form,work,etymology,wordplay_note,brief,significance
Richard Kongrosian,The Simulacra,Kongrosian = echoes congress/congregation,A congregation of neuroses — he is deeply disturbed,Psychokinetic pianist who is so neurotic he believes he is becoming invisible,The artist as basket case — genius and madness inseparable
Al Miller,The Simulacra,,Everyman name — a common man in an uncommon world,Citizen who seeks passage to Mars to escape the Simulacra regime,The common man trying to flee the political machine
Pemberton,The Simulacra,,A proper English name suggesting establishment,Der Alte — the secret power behind the presidential puppet,The man behind the curtain — real power hiding behind simulated authority
Pete Garden,The Game-Players of Titan,Garden = garden/paradise,A garden devastated — paradise lost through alien games,Member of Pretty Blue Fox game-playing group on a depopulated Earth,Games as the last human activity when reproduction has nearly ceased
Mary Anne McClain,The Game-Players of Titan,,Pete's wife in the Bindmen game rotation,One of the rotating spouses in the Titan-mandated game,Marriage as game mechanic — relationships reduced to strategic moves
Nats Katz,The Game-Players of Titan,Katz = cat (German),A cat among the game-players — predatory and sly,Vugs (Titanian aliens) using the Bindmen game to colonize Earth,The alien infiltrator disguised as a player
Patricia Hawkins,The Game-Players of Titan,,Pete's murdered wife whose death drives the plot,Pete Garden's wife whose murder reveals the Vugs' conspiracy,Death as the clue that the game is rigged
Jack Isidore,Confessions of a Crap Artist,Isidore = gift of Isis,"Echoes J.R. Isidore — the holy fool, the crap artist",Autodidact and collector of useless facts who narrates his sister's destruction,The naif whose clear-eyed observation reveals everyone else's delusions
Fay Hume,Confessions of a Crap Artist,Hume = David Hume (skeptic); Fay = fairy/fated,The fairy skeptic — magical and destructive,Jack's manipulative sister whose affairs and schemes destroy those around her,The realistic novel's version of PKD's cosmic manipulator — a domestic demiurge
Charley Hume,Confessions of a Crap Artist,,Fay's husband who is driven to attempted murder,Fay's long-suffering husband who she drives to the breaking point,The ordinary man destroyed by a force of nature in human form
Nathan Anteil,Confessions of a Crap Artist,Anteil = share/portion (German),He gets his portion — and it destroys him,Young man drawn into Fay's orbit who becomes her lover and tool,The naive intellectual consumed by a stronger personality
Bruce Stevens,The Broken Bubble,,Radio station manager in 1950s San Francisco,Protagonist whose midlife crisis plays out against the bohemian youth culture,The adult world failing to connect with the emerging counterculture
Pat Gray,The Broken Bubble,Gray = ambiguous/neutral,A gray figure in a gray moral landscape,Young woman in Bruce's orbit,Moral ambiguity in domestic fiction
Jim Fergesson,In Milton Lumky Territory,Fergesson = son of Fergus (man of vigor),A vigorous man whose vigor fails him,Small-town businessman whose marriage and enterprise slowly collapse,The small businessman — PKD's recurring tragic hero of American commerce
Susan Faine,In Milton Lumky Territory,Faine = glad/willing,Willing but unable to save the marriage or business,Jim's older wife and former teacher whose past catches up with them,Age difference and class anxiety in 1950s small-town America
Milton Lumky,In Milton Lumky Territory,Lumky = lumpy/awkward,The lumpy traveling salesman — ungainly and unglamorous,Traveling salesman whose territory Jim enters both literally and metaphorically,The territory as metaphor — every man's commercial and emotional domain
Roger Lindahl,Puttering About in a Small Land,Lindahl = linden valley,A valley man — small-scale and enclosed,Husband in a failing 1950s marriage who runs a TV repair shop,The putterer — doing small things in a small land while the marriage crumbles
Virginia Lindahl,Puttering About in a Small Land,,Roger's wife who has an affair,Roger's wife whose dissatisfaction drives the novel,Suburban discontent — the realistic precursor to PKD's cosmic alienation
Stuart Hadley,Voices from the Street,Hadley = heather field,A field voice shouting from the margins,Young TV salesman in postwar Oakland struggling with existential rage,The angry young man — PKD's portrait of postwar American disillusionment
Carl Wessterburg,Humpty Dumpty in Oakland,Wessterburg = western castle,A western castle that crumbles,Aging car mechanic in Oakland whose world collapses around him,The fall — Humpty Dumpty as the fragile American working man
George Walt,The Crack in Space,,Repairman who discovers the dimensional crack,TV repairman who accidentally opens a portal to another Earth,The working-class discoverer — great revelations come from ordinary labor
Phil,VALIS,Phil = horse-lover (Greek philos + hippos),Philip K. Dick as a character — the skeptical rational half,Author and narrator who is the skeptical counterpart to Horselover Fat,The author watching himself go mad — or become enlightened
Kevin,VALIS,,One of the three friends investigating VALIS,Phil and Fat's friend who represents a cynical Catholic perspective,Catholic cynicism as one lens on the divine
David,VALIS,David = beloved,The beloved — a Buddhist perspective,Phil and Fat's friend who represents a Buddhist-influenced rationalism,Buddhism as another interpretive framework for the VALIS experience
Eric Lampton,VALIS,Lampton = lamp town,Town of lamps — illumination,Rock musician and filmmaker who channels VALIS through the movie Valis,Art as vessel for divine information — the artist as unconscious prophet
Linda Lampton,VALIS,,Eric's wife and collaborator,Co-creator of the Valis film and Mother Goose figure,The divine feminine appearing through pop culture
Mini (Sophia),VALIS,Mini = small; Sophia = wisdom,Small wisdom — the divine compressed into a two-year-old,Two-year-old daughter of the Lamptons who is the incarnation of divine wisdom,God as infant — wisdom in the smallest and most vulnerable form
Brady (Nicholas),VALIS,,Horselover Fat's friend,Character in the VALIS novel (distinct from Radio Free Albemuth's Nicholas Brady),The friend who witnesses the visionary's transformation
Sherri Solvig,VALIS,,Woman whose cancer prompts Fat's theological crisis,Cancer patient whose suffering and death challenge Fat's belief in a benevolent VALIS,Theodicy — if God is real why does Sherri die?
Beth,VALIS,,Fat's ex-wife,Horselover Fat's former wife who left him,The domestic wreckage of visionary obsession
Gloria Knudson,VALIS,,Woman whose suicide triggers Fat's breakdown,Friend whose suicide is the original trauma driving Fat's search for meaning,Death as the engine of theological questioning
Thomas (apostle),VALIS,Thomas = twin (Aramaic),The twin — Fat's first-century alter ego who coexists with him,First-century Christian apostle who Fat believes lives within him as a second personality,Temporal bilocation — the ancient twin inhabiting the modern self
Curt,Solar Lottery,,Technician and follower,Minor character in the lottery world,The technician serving the random system
Herb Sousa,Lies Inc.,Sousa = marching music composer,Marching to a different drummer through teleportation,Character involved with Trails of Hoffman teleportation company,Teleportation as emigration — the lie of the promised land
Rachmael ben Applebaum,Lies Inc.,Rachmael = mercy of God; ben Applebaum = son of the apple tree,God's mercy from the apple tree — mercy from the garden,Heir to a spaceship line who investigates whether the colony world Whale's Mouth is real,The seeker who must physically travel to discover what teleportation conceals
Freya Holm,Lies Inc.,Freya = Norse goddess of love; Holm = small island,Love on a small island — isolated beauty,Rachmael's love interest and companion,Romance as motivation for truth-seeking
Matson (Theodore),Lies Inc.,,Runs the Lies Incorporated deception apparatus,Head of an organization that manufactures disinformation,The professional liar — an entire industry of deception
Marsha Hamilton,Eye in the Sky,,Jack's wife,Jack's wife who accompanies him through the subjective realities,The companion through the looking-glass
Laws (Arthur),Eye in the Sky,,A man named Laws who is lawless in his subjective world,One of the bevatron accident survivors,The irony of names — Laws creates a lawless reality
Edith Pritchet,Eye in the Sky,,Religious fanatic whose world comes first,The first person whose subjective reality engulfs the group,Religious fanaticism as literal world-building
Peter Trilling,Nick and the Glimmung,Trilling = trilling/singing,A singing name for a boy on a musical adventure,Boy who travels to the Plowman's Planet with his cat Horace,PKD's only children's book — wonder and danger on an alien world
Horace (cat),Nick and the Glimmung,,A dignified name for a cat,Peter's cat who plays a crucial role in the confrontation with Glimmung,The wise animal — PKD loved cats and gave them narrative importance
Nick,Nick and the Glimmung,,Common name suggesting everyman,The titular Nick,The ordinary name in the extraordinary situation
Rick (Frederick),The World Jones Made,Rick = ruler (Germanic),The ruler who cannot rule the future,Protagonist living under a one-world government where Jones predicts the future,Free agency under determinism — how to act when the future is known
Floyd Jones,The World Jones Made,Jones = common; Floyd = gray,The gray everyman who sees ahead — a common man with uncommon foresight,Mutant precognitive who becomes a demagogue by predicting the future,The prophet as fascist — foreknowledge as political weapon
Nina,The World Jones Made,,Simple name suggesting simplicity,Floyd Jones's lover,The woman caught in the precognitive's orbit
Curt (Dr. Dodd),Vulcan's Hammer,,The director who serves the machine,Director of Unity who serves the supercomputer Vulcan 3,The bureaucrat as servant of artificial intelligence
Arthur Dill,Vulcan's Hammer,,The protagonist who questions the machine,Functionary who begins to question Unity's reliance on Vulcan 3,The questioner within the machine — resistance from inside
